name,description,module,path,standalone
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques. This workflow facilitates interactive brainstorming sessions using diverse creative techniques. The session is highly interactive, with the AI acting as a facilitator to guide the user through various ideation methods to generate and refine creative solutions.","core","bmad/core/workflows/brainstorming/workflow.yaml","true"
"party-mode","Orchestrates group discussions between all installed BMAD agents, enabling natural multi-agent conversations","core","bmad/core/workflows/party-mode/workflow.yaml","true"
"analizar-disenar-historia-usuario","Analizar una historia de usuario desde la perspectiva arquitectónica y proponer un diseño de implementación validado por el usuario humano. Se enfoca en decisiones arquitectónicas y de diseño, actualizando la HU con análisis completo. Prepara la base para refinamiento técnico posterior.","metodo-ceiba","bmad/metodo-ceiba/workflows/arquitectura/analizar-disenar-historia-usuario/workflow.yaml","false"
"arquitectura-solucion","Workflow para generar documentación de arquitectura basada en arc42, incluyendo contexto, restricciones, estrategia de solución y vistas estáticas/dinámicas","metodo-ceiba","bmad/metodo-ceiba/workflows/arquitectura/crear-arquitectura-solucion/workflow.yaml","false"
"documentar-arquitectura-base","Documentar proyectos complejos con múltiples repositorios, creando una 'arquitectura de alto nivel' que guíe el desarrollo cuando llegan historias de usuario. Esta tarea está optimizada para ecosistemas empresariales con múltiples repositorios y sistemas distribuidos.","metodo-ceiba","bmad/metodo-ceiba/workflows/arquitectura/documentar-arquitectura-base/workflow.yaml","false"
"documentar-componente","Documentar un componente de software específico del sistema, creando documentación técnica completa que sirva como guía práctica para desarrolladores y operadores","metodo-ceiba","bmad/metodo-ceiba/workflows/arquitectura/documentar-componente/workflow.yaml","false"
"documentar-flujo-negocio","Documentar flujos de negocio críticos del sistema mediante diagramas de secuencia detallados que ilustren las interacciones entre componentes, incluyendo rutas de éxito, manejo de errores y operaciones asíncronas","metodo-ceiba","bmad/metodo-ceiba/workflows/arquitectura/documentar-flujo-negocio/workflow.yaml","false"
"explorar-proyecto","Ayuda al usuario a explorar y entender cualquier aspecto del proyecto mediante búsqueda inteligente en documentación, código y configuración. Proporciona respuestas contextualizadas y completas basadas en la información disponible del proyecto","metodo-ceiba","bmad/metodo-ceiba/workflows/arquitectura/explorar-proyecto/workflow.yaml","false"
"generar-estandares-codigo","Crear o actualizar el documento de estándares de código basándose en análisis del código existente, documentación previa y mejores prácticas específicas del proyecto","metodo-ceiba","bmad/metodo-ceiba/workflows/arquitectura/generar-estandares-codigo/workflow.yaml","false"
"crear-historia-usuario","Crear o importar historias de usuario siguiendo una metodología estructurada. Soporta dos modos: escribir desde cero o importar y validar historias existentes. Enfocándose en obtener información completa del usuario sin asumir detalles. Genera la base que posteriormente será refinada por el Scrum Master.","metodo-ceiba","bmad/metodo-ceiba/workflows/desarrollo/crear-historia-usuario/workflow.yaml","false"
"desarrollar-historia-usuario","Implementar historia de usuario estimada siguiendo las tareas de refinamiento, con desarrollo iterativo, testing completo y actualización de estado","metodo-ceiba","bmad/metodo-ceiba/workflows/desarrollo/desarrollar-historia-usuario/workflow.yaml","false"
"estimar-historia-usuario","Estimar tiempos de desarrollo para historias de usuario previamente refinadas, calculando estimaciones para diferentes perfiles de desarrollador incluyendo el Método Ceiba","metodo-ceiba","bmad/metodo-ceiba/workflows/desarrollo/estimar-historia-usuario/workflow.yaml","false"
"refinamiento-tecnico","Refinar una historia de usuario existente añadiendo contexto técnico profundo, análisis de implementación, descomposición en tareas técnicas y preparación completa para desarrollo","metodo-ceiba","bmad/metodo-ceiba/workflows/desarrollo/refinamiento-tecnico/workflow.yaml","false"
"revisar-historia","Realizar revisión exhaustiva de código por peer reviewer senior, validando seguridad, calidad, arquitectura, tests y criterios de aceptación. Genera reporte estructurado con hallazgos y action items.","metodo-ceiba","bmad/metodo-ceiba/workflows/desarrollo/revisar-historia/workflow.yaml","false"
